PointID,Higgs,mTop,ThetaHiggs,TopYukawa,HiggsTrilin
Point T2-574-01102019130611,114.8737896685663,173.4719297136296,0.053423915606912536,0.9899148669797355,24.806574231141987
Point T7-107-01102019130028,118.85912189233991,174.37719904198795,0.34082617692554273,0.9343067924732104,24.72788818724917
Point T3-141-01102019130506,102.33405179702486,165.98602036198753,0.06062819349990927,0.989507819250279,19.925765183583525
Point T1-750-01102019131041,71.88568502830766,144.90445678029636,0.1926661820538667,0.97298686112825,10.377692514519312
Point T5-238-01102019133131,97.36487483207922,200.425520995265,0.16544662986680098,0.9777925116507388,13.662979880731966
Point T6-414-01102019131142,385.1711275645908,639.3087091919523,0.18088307803624407,0.9751558883515392,73.71930141036921
Point T4-297-01102019130341,73.42688681908399,172.4460847102441,0.07818592132882048,0.9883007407217896,7.889066912546648
Point T0-56-01102019125939,147.17386858962902,180.59605450747222,0.06182561962542465,0.9894351856536842,40.52789933771557
Point T4-255-01102019130347,106.20802282088704,174.99817174632793,0.2545870310122324,0.9593760790322693,19.52566257048764
Point T2-245-01102019130617,71.25194313695621,116.0041610632509,0.046326293938604136,0.9902656459850564,13.418214052206581
Point T0-728-01102019125944,372.3801097862635,478.7318339653028,0.06727222383016061,0.9890869040390546,101.08977340544146
Point T1-352-01102019131047,122.02655670606819,199.04340980871305,0.11685113944643191,0.9845690134303763,24.60131155068602
Point T6-251-01102019131148,254.50528148841494,268.51567502313173,0.16471522793543647,0.977911662340906,88.03101091402073
Point T5-264-01102019133135,217.45576432003006,746.1646247480797,0.7152787760635644,0.7483647747014349,9.41826528456687
Point T7-876-01102019130035,81.40384396492708,178.01226458620235,0.06750907269370533,0.9890710930124763,9.724224277314557
Point T4-703-01102019130353,102.72493447059402,168.09345235483747,0.24452316177431915,0.9618400199637319,19.056018982304263
Point T7-870-01102019130041,115.77095586526548,187.33855354008747,0.053538727530273264,0.9899087828288498,22.214413804038198
Point T0-536-01102019125951,172.90547443557244,387.34087389562745,0.14081136174227527,0.9815174840896744,20.814377008918367
Point T2-784-01102019130623,92.23230300047774,140.91424560543183,0.055101032902733035,0.9898246958024927,19.880514866742363
Point T1-811-01102019131053,113.97014046125868,188.6770002069923,0.27425005749449893,0.9542818254193457,23.19878345852545
Point T3-270-01102019130512,105.20260360692556,170.6388147676688,0.06062819578024662,0.9895078191133089,20.484308777201186
Point T1-479-01102019131059,85.69681527538238,161.75788735920528,0.11955920931106119,0.9842524197128261,13.491512564759587
Point T5-529-01102019133138,121.22016935731028,161.84559198465806,0.03345926164762851,0.9907743584507117,31.510508196028656
Point T4-91-01102019130400,96.10423613601762,156.86841966959463,0.23021665421437765,0.9651749555889461,17.472859078785895
Point T0-916-01102019125957,129.46331561454565,348.0116484726536,0.2176487767369134,0.9679416345427312,11.380098977037031
Point T2-144-01102019130628,88.76418917527904,142.17230932273574,0.07145761956448973,0.988799332638658,17.905383335263316
Point T7-274-01102019130047,134.8348917431414,274.10946244153797,0.49157996781985297,0.8739441215806426,19.629507965605814
Point T2-232-01102019130634,104.74511211308969,174.80959304408506,0.08636896334540796,0.987634053473991,19.97055044107633
Point T3-437-01102019130518,149.61615045365556,176.29339980421355,0.10464271820262108,0.985906588852999,42.10832426853657
