GenNb-1843   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10485.768659382888   ||  StdChi2: 12727.555658958845   ||  
GenNb-1844   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10482.246653194734   ||  StdChi2: 12729.399298045333   ||  
GenNb-1891   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10476.595587219377   ||  StdChi2: 12731.663875557993   ||  
GenNb-1932   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 9959.725564457589   ||  StdChi2: 12970.715228552257   ||  
GenNb-1944   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 9847.083095972317   ||  StdChi2: 13046.71057434646   ||  
GenNb-1968   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 9846.977057660728   ||  StdChi2: 13046.786840188219   ||  
GenNb-1989   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 9845.410082332246   ||  StdChi2: 13047.902596606938   ||  
GenNb-2002   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 8125.299994869585   ||  StdChi2: 12791.974187372498   ||  
GenNb-2004   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 8060.62180177954   ||  StdChi2: 12822.826243920648   ||  
GenNb-2050   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 8060.4844715938425   ||  StdChi2: 12822.89479634732   ||  
GenNb-2070   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 8059.971353698398   ||  StdChi2: 12823.151048212932   ||  
GenNb-2102   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 8059.949390957908   ||  StdChi2: 12823.162020449052   ||  
GenNb-2135   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 8055.208957395092   ||  StdChi2: 12825.946577596647   ||  
GenNb-2146   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 8054.22504274138   ||  StdChi2: 12826.47506004328   ||  
GenNb-2152   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 8053.8789376000295   ||  StdChi2: 12826.647813001844   ||  
GenNb-2155   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 8013.356924037078   ||  StdChi2: 12745.195032217385   ||  
GenNb-2157   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7904.455675753385   ||  StdChi2: 12803.618837825   ||  
GenNb-2161   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7902.267834779848   ||  StdChi2: 12804.875261939455   ||  
GenNb-2189   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7871.910585113377   ||  StdChi2: 12744.294363150728   ||  
GenNb-2197   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7855.546958867788   ||  StdChi2: 12753.800470928783   ||  
GenNb-2220   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7842.291601484639   ||  StdChi2: 12727.46476078564   ||  
GenNb-2231   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7841.92181011621   ||  StdChi2: 12727.582153661464   ||  
GenNb-2259   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7841.109821314072   ||  StdChi2: 12728.008634635333   ||  
GenNb-2283   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7832.6283867950315   ||  StdChi2: 12733.007790412252   ||  
GenNb-2290   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7816.844237275536   ||  StdChi2: 12736.17346677371   ||  
GenNb-2293   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7816.277952133079   ||  StdChi2: 12736.46989453536   ||  
GenNb-2300   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7801.241499115333   ||  StdChi2: 12739.64784073327   ||  
GenNb-2424   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7791.636021950959   ||  StdChi2: 12741.761132816177   ||  
GenNb-2466   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7789.9869017264355   ||  StdChi2: 12742.130473668489   ||  
GenNb-2486   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7789.668879688007   ||  StdChi2: 12742.230096924495   ||  
GenNb-2513   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7689.8199359097325   ||  StdChi2: 12768.14221821566   ||  
GenNb-2538   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7675.328856525451   ||  StdChi2: 12772.482252314927   ||  
GenNb-2548   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7663.5556492612695   ||  StdChi2: 12776.116118569453   ||  
GenNb-2575   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7652.289126219663   ||  StdChi2: 12779.684029534743   ||  
GenNb-2590   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7651.219398377002   ||  StdChi2: 12780.228967438965   ||  
GenNb-2659   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7650.01543507011   ||  StdChi2: 12780.602924901757   ||  
GenNb-2670   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7649.89279202093   ||  StdChi2: 12780.66543801972   ||  
GenNb-2677   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7649.161466197789   ||  StdChi2: 12781.086715817153   ||  
GenNb-2693   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7649.152237482932   ||  StdChi2: 12781.091916309499   ||  
GenNb-2733   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7640.090857323633   ||  StdChi2: 12786.34176340031   ||  
GenNb-2740   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7640.042387389626   ||  StdChi2: 12786.36642400875   ||  
GenNb-2755   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7630.237623054071   ||  StdChi2: 12789.536596874794   ||  
GenNb-2802   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7630.188103963662   ||  StdChi2: 12789.43805820521   ||  
GenNb-2803   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7629.408033833557   ||  StdChi2: 12789.87640264175   ||  
GenNb-2807   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7628.9418988701655   ||  StdChi2: 12790.13628800537   ||  
GenNb-2813   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7628.717579961411   ||  StdChi2: 12790.20363085423   ||  
GenNb-2828   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7614.725313924202   ||  StdChi2: 12798.073163980382   ||  
GenNb-2833   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7600.864378965545   ||  StdChi2: 12805.999731055783   ||  
GenNb-2870   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7600.800554739797   ||  StdChi2: 12806.031961046012   ||  
GenNb-2909   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7600.260425540182   ||  StdChi2: 12806.34450910962   ||  
GenNb-2922   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7596.914712846995   ||  StdChi2: 12807.432306585217   ||  
GenNb-3033   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7596.098474371201   ||  StdChi2: 12807.902836111929   ||  
GenNb-3108   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7595.862455570411   ||  StdChi2: 12808.038975745629   ||  
GenNb-3112   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7588.970178487458   ||  StdChi2: 12810.303697949706   ||  
GenNb-3117   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7582.896980904719   ||  StdChi2: 12812.326604452452   ||  
GenNb-3135   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7581.433082841111   ||  StdChi2: 12813.170083398249   ||  
GenNb-3154   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7581.29372984449   ||  StdChi2: 12813.21678146873   ||  
GenNb-3175   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7580.120525800873   ||  StdChi2: 12813.893797520885   ||  
GenNb-3187   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7579.10306500069   ||  StdChi2: 12814.481145422666   ||  
GenNb-3247   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7563.749654314726   ||  StdChi2: 12819.705494297496   ||  
GenNb-3328   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7563.6026227709035   ||  StdChi2: 12819.412848821808   ||  
GenNb-3346   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7563.357188100081   ||  StdChi2: 12819.548816114948   ||  
GenNb-3369   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7562.7729289738945   ||  StdChi2: 12819.841967187682   ||  
GenNb-3379   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 7561.011745575796   ||  StdChi2: 12820.727047426928   ||  
