GenNb-850   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8547.893256230436   ||  StdChi2: 7736.124729050909   ||  
GenNb-857   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8545.55072900769   ||  StdChi2: 7738.143760417461   ||  
GenNb-866   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8462.991193258622   ||  StdChi2: 7740.722208679561   ||  
GenNb-870   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8448.62817834555   ||  StdChi2: 7740.8711995382055   ||  
GenNb-923   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8418.11641175924   ||  StdChi2: 7759.131371406289   ||  
GenNb-976   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7848.88287497406   ||  StdChi2: 7279.340495782749   ||  
GenNb-1005   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7844.013910904384   ||  StdChi2: 7283.355606638593   ||  
GenNb-1020   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7828.519090511877   ||  StdChi2: 7292.436233266195   ||  
GenNb-1055   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7824.746405783287   ||  StdChi2: 7294.690318267922   ||  
GenNb-1135   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7815.452074695195   ||  StdChi2: 7292.8873030121595   ||  
GenNb-1176   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7814.608010029096   ||  StdChi2: 7293.3929685986295   ||  
GenNb-1195   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7755.284180777051   ||  StdChi2: 7264.513117617238   ||  
GenNb-1196   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7713.55727620774   ||  StdChi2: 7152.7772120103855   ||  
GenNb-1204   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7712.412974847871   ||  StdChi2: 7152.811210158111   ||  
GenNb-1257   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7526.039190232234   ||  StdChi2: 6659.553543942579   ||  
GenNb-1263   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7321.230023385348   ||  StdChi2: 6130.557719892581   ||  
GenNb-1295   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7301.511624519459   ||  StdChi2: 6118.897164443869   ||  
GenNb-1305   ||  MinChi2: 162.884465253551   ||  MeanChi2: 7299.3088783868025   ||  StdChi2: 6118.539944752268   ||  
GenNb-1308   ||  MinChi2: 162.884465253551   ||  MeanChi2: 5572.7439901838925   ||  StdChi2: 3214.8360643525098   ||  
GenNb-1316   ||  MinChi2: 162.884465253551   ||  MeanChi2: 5571.1866314057015   ||  StdChi2: 3214.8012837749548   ||  
GenNb-1329   ||  MinChi2: 162.884465253551   ||  MeanChi2: 5544.44817351224   ||  StdChi2: 3246.8613803839867   ||  
GenNb-1340   ||  MinChi2: 162.884465253551   ||  MeanChi2: 5458.993661780596   ||  StdChi2: 3254.56422348559   ||  
GenNb-1368   ||  MinChi2: 162.884465253551   ||  MeanChi2: 5458.902061662138   ||  StdChi2: 3254.573208669875   ||  
GenNb-1381   ||  MinChi2: 162.884465253551   ||  MeanChi2: 5452.497020602387   ||  StdChi2: 3249.0700363909177   ||  
GenNb-1402   ||  MinChi2: 162.884465253551   ||  MeanChi2: 5452.364931281738   ||  StdChi2: 3249.2286995500435   ||  
GenNb-1483   ||  MinChi2: 162.884465253551   ||  MeanChi2: 5435.321953221616   ||  StdChi2: 3270.038651570639   ||  
GenNb-1516   ||  MinChi2: 162.884465253551   ||  MeanChi2: 5419.389183789265   ||  StdChi2: 3280.08662623044   ||  
GenNb-1541   ||  MinChi2: 162.884465253551   ||  MeanChi2: 5399.0411158153065   ||  StdChi2: 3267.7569646915244   ||  
GenNb-1569   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4760.354016341355   ||  StdChi2: 3083.6501148111597   ||  
GenNb-1579   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4752.126402019121   ||  StdChi2: 3083.692666468922   ||  
GenNb-1614   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4744.654688446391   ||  StdChi2: 3075.3660844744522   ||  
GenNb-1639   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4740.779361306222   ||  StdChi2: 3077.23026213703   ||  
GenNb-1653   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4718.878867701878   ||  StdChi2: 3088.5666518260373   ||  
GenNb-1658   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4608.416414777459   ||  StdChi2: 3173.7387153865175   ||  
GenNb-1765   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4584.392826094698   ||  StdChi2: 3186.520570775887   ||  
GenNb-1773   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4584.392156863816   ||  StdChi2: 3186.521244070663   ||  
GenNb-1776   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4576.9338707551615   ||  StdChi2: 3178.260136632846   ||  
GenNb-1786   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4569.980959814469   ||  StdChi2: 3184.6223622744396   ||  
GenNb-1832   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4557.122622873689   ||  StdChi2: 3196.713568680025   ||  
GenNb-1862   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4162.16847183588   ||  StdChi2: 2974.786205697714   ||  
GenNb-1863   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4118.810821124545   ||  StdChi2: 2978.2603220456435   ||  
GenNb-1891   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4118.401538081369   ||  StdChi2: 2978.443964762414   ||  
GenNb-1942   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4118.366126966889   ||  StdChi2: 2978.4491170231786   ||  
GenNb-2119   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4118.351480800536   ||  StdChi2: 2978.4335149446115   ||  
GenNb-2164   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4117.9173183417815   ||  StdChi2: 2978.496990377017   ||  
GenNb-2188   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4069.940057359545   ||  StdChi2: 2871.8737295105775   ||  
GenNb-2279   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4068.8317088365534   ||  StdChi2: 2872.0130414071323   ||  
